Year,Round,Race Name,Lap Number,Driver ID,Position,Lap Time
2019,1,Australian Grand Prix,1,bottas,1,1:33.813
2019,1,Australian Grand Prix,1,hamilton,2,1:34.887
2019,1,Australian Grand Prix,1,vettel,3,1:35.626
2019,1,Australian Grand Prix,1,max_verstappen,4,1:36.291
2019,1,Australian Grand Prix,1,leclerc,5,1:37.042
2019,1,Australian Grand Prix,1,kevin_magnussen,6,1:38.243
2019,1,Australian Grand Prix,1,grosjean,7,1:39.116
2019,1,Australian Grand Prix,1,hulkenberg,8,1:39.692
2019,1,Australian Grand Prix,1,raikkonen,9,1:40.507
2019,1,Australian Grand Prix,1,norris,10,1:41.117
2019,1,Australian Grand Prix,1,albon,11,1:41.759
2019,1,Australian Grand Prix,1,perez,12,1:42.296
2019,1,Australian Grand Prix,1,stroll,13,1:42.777
2019,1,Australian Grand Prix,1,sainz,14,1:43.203
2019,1,Australian Grand Prix,1,kvyat,15,1:43.893
2019,1,Australian Grand Prix,1,giovinazzi,16,1:44.675
2019,1,Australian Grand Prix,1,gasly,17,1:45.008
2019,1,Australian Grand Prix,1,russell,18,1:46.033
2019,1,Australian Grand Prix,1,kubica,19,2:26.128
2019,1,Australian Grand Prix,1,ricciardo,20,2:28.213
2019,1,Australian Grand Prix,2,bottas,1,1:29.662
2019,1,Australian Grand Prix,2,hamilton,2,1:29.759
2019,1,Australian Grand Prix,2,vettel,3,1:30.095
2019,1,Australian Grand Prix,2,max_verstappen,4,1:30.053
2019,1,Australian Grand Prix,2,leclerc,5,1:30.636
2019,1,Australian Grand Prix,2,kevin_magnussen,6,1:30.912
2019,1,Australian Grand Prix,2,grosjean,7,1:31.050
2019,1,Australian Grand Prix,2,hulkenberg,8,1:31.205
2019,1,Australian Grand Prix,2,raikkonen,9,1:31.184
2019,1,Australian Grand Prix,2,norris,10,1:31.414
2019,1,Australian Grand Prix,2,albon,11,1:31.716
2019,1,Australian Grand Prix,2,perez,12,1:31.970
2019,1,Australian Grand Prix,2,stroll,13,1:32.014
2019,1,Australian Grand Prix,2,sainz,14,1:32.340
2019,1,Australian Grand Prix,2,kvyat,15,1:32.335
2019,1,Australian Grand Prix,2,gasly,16,1:31.585
2019,1,Australian Grand Prix,2,giovinazzi,17,1:33.661
2019,1,Australian Grand Prix,2,russell,18,1:33.355
2019,1,Australian Grand Prix,2,kubica,19,1:39.740
2019,1,Australian Grand Prix,2,ricciardo,20,1:38.185
2019,1,Australian Grand Prix,3,bottas,1,1:29.246
2019,1,Australian Grand Prix,3,hamilton,2,1:29.332
