Race Name,Date,Latitude,Longitude,Weather,Temperature (°C),Humidity (%),Wind Speed (m/s),Rain (mm),Year
Australian Grand Prix,2019-03-17,-37.8497,144.968,broken clouds,17.76,67,0.89,No rain,2019
Bahrain Grand Prix,2019-03-31,26.0325,50.5106,clear sky,21.05,72,5.45,No rain,2019
Chinese Grand Prix,2019-04-14,31.3389,121.22,clear sky,2.99,75,4.0,No rain,2019
Azerbaijan Grand Prix,2019-04-28,40.3725,49.8533,light intensity shower rain,4.97,75,12.35,No rain,2019
Spanish Grand Prix,2019-05-12,41.57,2.26111,clear sky,9.61,85,3.09,No rain,2019
Monaco Grand Prix,2019-05-26,43.7347,7.42056,overcast clouds,11.92,73,3.6,No rain,2019
Canadian Grand Prix,2019-06-09,45.5,-73.5228,few clouds,-4.97,57,6.69,No rain,2019
French Grand Prix,2019-06-23,43.2506,5.79167,overcast clouds,8.64,77,3.73,0.1,2019
Austrian Grand Prix,2019-06-30,47.2197,14.7647,broken clouds,-2.06,86,1.54,No rain,2019
British Grand Prix,2019-07-14,52.0786,-1.01694,overcast clouds,4.18,97,2.28,No rain,2019
German Grand Prix,2019-07-28,49.3278,8.56583,clear sky,0.22,86,0.0,No rain,2019
Hungarian Grand Prix,2019-08-04,47.5789,19.2486,overcast clouds,1.26,70,3.09,No rain,2019
Belgian Grand Prix,2019-09-01,50.4372,5.97139,mist,-1.91,100,2.57,No rain,2019
Italian Grand Prix,2019-09-08,45.6156,9.28111,light rain,5.0,87,0.45,1,2019
Singapore Grand Prix,2019-09-22,1.2914,103.864,broken clouds,26.92,87,1.03,No rain,2019
Russian Grand Prix,2019-09-29,43.4057,39.9578,few clouds,-0.89,51,7.0,No rain,2019
Japanese Grand Prix,2019-10-13,34.8431,136.541,scattered clouds,7.84,72,6.85,No rain,2019
Mexican Grand Prix,2019-10-27,19.4042,-99.0907,few clouds,23.88,23,4.12,No rain,2019
United States Grand Prix,2019-11-03,30.1328,-97.6411,light intensity drizzle,17.84,85,3.09,No rain,2019
Brazilian Grand Prix,2019-11-17,-23.7036,-46.6997,broken clouds,21.25,86,4.63,No rain,2019
Abu Dhabi Grand Prix,2019-12-01,24.4672,54.6031,clear sky,21.1,68,2.06,No rain,2019
Austrian Grand Prix,2020-07-05,47.2197,14.7647,broken clouds,-2.06,86,1.54,No rain,2020
Styrian Grand Prix,2020-07-12,47.2197,14.7647,broken clouds,-2.06,86,1.54,No rain,2020
Hungarian Grand Prix,2020-07-19,47.5789,19.2486,overcast clouds,1.26,70,3.09,No rain,2020
British Grand Prix,2020-08-02,52.0786,-1.01694,overcast clouds,4.18,97,2.28,No rain,2020
70th Anniversary Grand Prix,2020-08-09,52.0786,-1.01694,overcast clouds,4.18,97,2.28,No rain,2020
Spanish Grand Prix,2020-08-16,41.57,2.26111,clear sky,9.61,85,3.09,No rain,2020
Belgian Grand Prix,2020-08-30,50.4372,5.97139,mist,-1.91,100,2.57,No rain,2020
Italian Grand Prix,2020-09-06,45.6156,9.28111,light rain,5.0,87,0.45,1,2020
Tuscan Grand Prix,2020-09-13,43.9975,11.3719,overcast clouds,5.13,81,2.59,No rain,2020
Russian Grand Prix,2020-09-27,43.4057,39.9578,few clouds,-0.89,51,7.0,No rain,2020
Eifel Grand Prix,2020-10-11,50.3356,6.9475,scattered clouds,-2.31,93,3.09,No rain,2020
Portuguese Grand Prix,2020-10-25,37.227,-8.6267,scattered clouds,10.33,88,1.9,No rain,2020
Emilia Romagna Grand Prix,2020-11-01,44.3439,11.7167,moderate rain,4.34,96,2.91,1.33,2020
Turkish Grand Prix,2020-11-15,40.9517,29.405,clear sky,5.73,65,4.63,No rain,2020
Bahrain Grand Prix,2020-11-29,26.0325,50.5106,clear sky,21.05,72,5.45,No rain,2020
Sakhir Grand Prix,2020-12-06,26.0325,50.5106,clear sky,21.05,72,5.45,No rain,2020
Abu Dhabi Grand Prix,2020-12-13,24.4672,54.6031,clear sky,21.1,68,2.06,No rain,2020
Bahrain Grand Prix,2021-03-28,26.0325,50.5106,clear sky,21.05,72,5.45,No rain,2021
Emilia Romagna Grand Prix,2021-04-18,44.3439,11.7167,moderate rain,4.34,96,2.91,1.33,2021
Portuguese Grand Prix,2021-05-02,37.227,-8.6267,scattered clouds,10.33,88,1.9,No rain,2021
Spanish Grand Prix,2021-05-09,41.57,2.26111,clear sky,9.61,85,3.09,No rain,2021
Monaco Grand Prix,2021-05-23,43.7347,7.42056,overcast clouds,11.92,73,3.6,No rain,2021
Azerbaijan Grand Prix,2021-06-06,40.3725,49.8533,light intensity shower rain,4.97,75,12.35,No rain,2021
French Grand Prix,2021-06-20,43.2506,5.79167,overcast clouds,8.64,77,3.73,0.1,2021
Styrian Grand Prix,2021-06-27,47.2197,14.7647,broken clouds,-2.06,86,1.54,No rain,2021
Austrian Grand Prix,2021-07-04,47.2197,14.7647,broken clouds,-2.06,86,1.54,No rain,2021
British Grand Prix,2021-07-18,52.0786,-1.01694,overcast clouds,4.18,97,2.28,No rain,2021
Hungarian Grand Prix,2021-08-01,47.5789,19.2486,overcast clouds,1.26,70,3.09,No rain,2021
Belgian Grand Prix,2021-08-29,50.4372,5.97139,mist,-1.91,100,2.57,No rain,2021
Dutch Grand Prix,2021-09-05,52.3888,4.54092,broken clouds,1.59,88,3.6,No rain,2021
Italian Grand Prix,2021-09-12,45.6156,9.28111,light rain,5.0,87,0.45,1,2021
Russian Grand Prix,2021-09-26,43.4057,39.9578,few clouds,-0.89,51,7.0,No rain,2021
Turkish Grand Prix,2021-10-10,40.9517,29.405,clear sky,5.73,65,4.63,No rain,2021
United States Grand Prix,2021-10-24,30.1328,-97.6411,light intensity drizzle,17.84,85,3.09,No rain,2021
Mexico City Grand Prix,2021-11-07,19.4042,-99.0907,few clouds,23.88,23,4.12,No rain,2021
São Paulo Grand Prix,2021-11-14,-23.7036,-46.6997,broken clouds,21.25,86,4.63,No rain,2021
Qatar Grand Prix,2021-11-21,25.49,51.4542,scattered clouds,20.97,72,3.43,No rain,2021
Saudi Arabian Grand Prix,2021-12-05,21.6319,39.1044,few clouds,26.03,53,2.06,No rain,2021
Abu Dhabi Grand Prix,2021-12-12,24.4672,54.6031,clear sky,21.1,68,2.06,No rain,2021
Bahrain Grand Prix,2022-03-20,26.0325,50.5106,clear sky,21.05,72,5.45,No rain,2022
Saudi Arabian Grand Prix,2022-03-27,21.6319,39.1044,few clouds,26.03,53,2.06,No rain,2022
Australian Grand Prix,2022-04-10,-37.8497,144.968,broken clouds,17.76,67,0.89,No rain,2022
Emilia Romagna Grand Prix,2022-04-24,44.3439,11.7167,moderate rain,4.34,96,2.91,1.33,2022
Miami Grand Prix,2022-05-08,25.9581,-80.2389,broken clouds,22.99,64,8.23,No rain,2022
Spanish Grand Prix,2022-05-22,41.57,2.26111,clear sky,9.61,85,3.09,No rain,2022
Monaco Grand Prix,2022-05-29,43.7347,7.42056,overcast clouds,11.92,73,3.6,No rain,2022
Azerbaijan Grand Prix,2022-06-12,40.3725,49.8533,light intensity shower rain,4.97,75,12.35,No rain,2022
Canadian Grand Prix,2022-06-19,45.5,-73.5228,few clouds,-4.97,57,6.69,No rain,2022
British Grand Prix,2022-07-03,52.0786,-1.01694,overcast clouds,4.18,97,2.28,No rain,2022
Austrian Grand Prix,2022-07-10,47.2197,14.7647,broken clouds,-2.06,86,1.54,No rain,2022
French Grand Prix,2022-07-24,43.2506,5.79167,overcast clouds,8.64,77,3.73,0.1,2022
Hungarian Grand Prix,2022-07-31,47.5789,19.2486,overcast clouds,1.26,70,3.09,No rain,2022
Belgian Grand Prix,2022-08-28,50.4372,5.97139,mist,-1.91,100,2.57,No rain,2022
Dutch Grand Prix,2022-09-04,52.3888,4.54092,broken clouds,1.59,88,3.6,No rain,2022
Italian Grand Prix,2022-09-11,45.6156,9.28111,light rain,5.0,87,0.45,1,2022
Singapore Grand Prix,2022-10-02,1.2914,103.864,broken clouds,26.92,87,1.03,No rain,2022
Japanese Grand Prix,2022-10-09,34.8431,136.541,scattered clouds,7.84,72,6.85,No rain,2022
United States Grand Prix,2022-10-23,30.1328,-97.6411,light intensity drizzle,17.84,85,3.09,No rain,2022
Mexico City Grand Prix,2022-10-30,19.4042,-99.0907,few clouds,23.88,23,4.12,No rain,2022
São Paulo Grand Prix,2022-11-13,-23.7036,-46.6997,broken clouds,21.25,86,4.63,No rain,2022
Abu Dhabi Grand Prix,2022-11-20,24.4672,54.6031,clear sky,21.1,68,2.06,No rain,2022
Bahrain Grand Prix,2023-03-05,26.0325,50.5106,clear sky,21.05,72,5.45,No rain,2023
Saudi Arabian Grand Prix,2023-03-19,21.6319,39.1044,few clouds,26.03,53,2.06,No rain,2023
Australian Grand Prix,2023-04-02,-37.8497,144.968,broken clouds,17.76,67,0.89,No rain,2023
Azerbaijan Grand Prix,2023-04-30,40.3725,49.8533,light intensity shower rain,4.97,75,12.35,No rain,2023
Miami Grand Prix,2023-05-07,25.9581,-80.2389,broken clouds,22.99,64,8.23,No rain,2023
Monaco Grand Prix,2023-05-28,43.7347,7.42056,overcast clouds,11.92,73,3.6,No rain,2023
Spanish Grand Prix,2023-06-04,41.57,2.26111,clear sky,9.61,85,3.09,No rain,2023
Canadian Grand Prix,2023-06-18,45.5,-73.5228,few clouds,-4.97,57,6.69,No rain,2023
Austrian Grand Prix,2023-07-02,47.2197,14.7647,broken clouds,-2.06,86,1.54,No rain,2023
British Grand Prix,2023-07-09,52.0786,-1.01694,overcast clouds,4.18,97,2.28,No rain,2023
Hungarian Grand Prix,2023-07-23,47.5789,19.2486,overcast clouds,1.26,70,3.09,No rain,2023
Belgian Grand Prix,2023-07-30,50.4372,5.97139,mist,-1.91,100,2.57,No rain,2023
Dutch Grand Prix,2023-08-27,52.3888,4.54092,broken clouds,1.59,88,3.6,No rain,2023
Italian Grand Prix,2023-09-03,45.6156,9.28111,light rain,5.0,87,0.45,1,2023
Singapore Grand Prix,2023-09-17,1.2914,103.864,broken clouds,26.92,87,1.03,No rain,2023
Japanese Grand Prix,2023-09-24,34.8431,136.541,scattered clouds,7.84,72,6.85,No rain,2023
Qatar Grand Prix,2023-10-08,25.49,51.4542,scattered clouds,20.97,72,3.43,No rain,2023
United States Grand Prix,2023-10-22,30.1328,-97.6411,light intensity drizzle,17.84,85,3.09,No rain,2023
Mexico City Grand Prix,2023-10-29,19.4042,-99.0907,few clouds,23.88,23,4.12,No rain,2023
São Paulo Grand Prix,2023-11-05,-23.7036,-46.6997,broken clouds,21.25,86,4.63,No rain,2023
Las Vegas Grand Prix,2023-11-19,36.1147,-115.173,clear sky,14.64,31,1.54,No rain,2023
Abu Dhabi Grand Prix,2023-11-26,24.4672,54.6031,clear sky,21.1,68,2.06,No rain,2023
Bahrain Grand Prix,2024-03-02,26.0325,50.5106,clear sky,21.05,72,5.45,No rain,2024
Saudi Arabian Grand Prix,2024-03-09,21.6319,39.1044,few clouds,26.03,53,2.06,No rain,2024
Australian Grand Prix,2024-03-24,-37.8497,144.968,broken clouds,17.76,67,0.89,No rain,2024
Japanese Grand Prix,2024-04-07,34.8431,136.541,scattered clouds,7.84,72,6.85,No rain,2024
Chinese Grand Prix,2024-04-21,31.3389,121.22,clear sky,2.99,75,4.0,No rain,2024
Miami Grand Prix,2024-05-05,25.9581,-80.2389,broken clouds,22.99,64,8.23,No rain,2024
Emilia Romagna Grand Prix,2024-05-19,44.3439,11.7167,moderate rain,4.34,96,2.91,1.33,2024
Monaco Grand Prix,2024-05-26,43.7347,7.42056,overcast clouds,11.92,73,3.6,No rain,2024
Canadian Grand Prix,2024-06-09,45.5,-73.5228,few clouds,-4.97,57,6.69,No rain,2024
Spanish Grand Prix,2024-06-23,41.57,2.26111,clear sky,9.61,85,3.09,No rain,2024
Austrian Grand Prix,2024-06-30,47.2197,14.7647,broken clouds,-2.06,86,1.54,No rain,2024
British Grand Prix,2024-07-07,52.0786,-1.01694,overcast clouds,4.18,97,2.28,No rain,2024
Hungarian Grand Prix,2024-07-21,47.5789,19.2486,overcast clouds,1.26,70,3.09,No rain,2024
Belgian Grand Prix,2024-07-28,50.4372,5.97139,mist,-1.91,100,2.57,No rain,2024
Dutch Grand Prix,2024-08-25,52.3888,4.54092,broken clouds,1.59,88,3.6,No rain,2024
Italian Grand Prix,2024-09-01,45.6156,9.28111,light rain,5.0,87,0.45,1,2024
Azerbaijan Grand Prix,2024-09-15,40.3725,49.8533,light intensity shower rain,4.97,75,12.35,No rain,2024
Singapore Grand Prix,2024-09-22,1.2914,103.864,broken clouds,26.92,87,1.03,No rain,2024
United States Grand Prix,2024-10-20,30.1328,-97.6411,light intensity drizzle,17.84,85,3.09,No rain,2024
Mexico City Grand Prix,2024-10-27,19.4042,-99.0907,few clouds,23.88,23,4.12,No rain,2024
São Paulo Grand Prix,2024-11-03,-23.7036,-46.6997,broken clouds,21.25,86,4.63,No rain,2024
Las Vegas Grand Prix,2024-11-23,36.1147,-115.173,clear sky,14.64,31,1.54,No rain,2024
Qatar Grand Prix,2024-12-01,25.49,51.4542,scattered clouds,20.97,72,3.43,No rain,2024
Abu Dhabi Grand Prix,2024-12-08,24.4672,54.6031,clear sky,21.1,68,2.06,No rain,2024
